ID Number,Last Name,First Name,Actual Match,Preference 1,Preference 2,Preference 3,Preference 4,Preference 5,Preference 6,Preference 7,Preference 8,Preference 9,Preference 10
1,Rodriguez,Amir,B,A,B,C,D,E,F,G,H,I,J
2,Woodard,Lola,A,A,B,C,D,E,F,G,H,I,J
3,Brock,Awais,C,A,B,C,D,E,F,G,H,I,J
4,Mcbride,Aamir,G,A,B,C,D,E,F,G,H,I,J
5,Patton,Montgomery,F,A,B,C,D,E,F,G,H,I,J
6,Caldwell,Viola,E,A,B,C,D,E,F,G,H,I,J
7,Rowland,Brianna,I,A,B,C,D,E,F,G,H,I,J
8,Maxwell,Oskar,H,A,B,C,D,E,F,G,H,I,J
9,Simpson,Simon,J,A,B,C,D,E,F,G,H,I,J
10,Lowe,Adelaide,D,A,B,C,D,E,F,G,H,I,J
